C,X,Y
8.0,-122.4635405,38.5771565
9.0,-122.235633,38.323413
10.0,-122.256436,38.499858
4.0,-122.298069,38.2911965
7.0,-122.350385,38.2069665
1.0,-122.3172865,38.350588
8.0,-122.472241,38.507808
1.0,-122.325286,38.321913
5.0,-122.2819185,38.304744
5.0,-122.2895875,38.303864
4.0,-122.286334,38.285714
10.0,-122.3003865,38.4225585
10.0,-122.174139,38.4888795
1.0,-122.325286,38.321913
1.0,-122.323636,38.331063
4.0,-122.2980885,38.296869
7.0,-122.350385,38.2069665
10.0,-122.2847405,38.688076
6.0,-122.586594,38.578457
2.0,-122.285519,38.2952755
7.0,-122.246181,38.160268
8.0,-122.472645,38.4623595
6.0,-122.4635405,38.5771565
3.0,-122.4051885,38.330863
3.0,-122.333086,38.294664
9.0,-122.2427835,38.3090135
2.0,-122.270838,38.292814
3.0,-122.356387,38.292416
10.0,-122.174139,38.4888795
1.0,-122.314386,38.333513
10.0,-122.3744885,38.548707
6.0,-122.586594,38.578457
4.0,-122.310589,38.303769
8.0,-122.4515405,38.505879
10.0,-122.1355815,38.4137595
6.0,-122.5771335,38.566283
4.0,-122.292585,38.296564
2.0,-122.2898845,38.296414
8.0,-122.472241,38.507808
9.0,-122.224882,38.281914
4.0,-122.308635,38.297349
9.0,-122.2606835,38.293364
2.0,-122.2909845,38.299464
9.0,-122.1773815,38.3344625
9.0,-122.263634,38.330463
6.0,-122.5672435,38.578757
2.0,-122.270838,38.292814
2.0,-122.2885345,38.297914
5.0,-122.2986355,38.332013
10.0,-122.3555875,38.400511
3.0,-122.322236,38.3151135
4.0,-122.292585,38.296564
8.0,-122.485091,38.5392075
7.0,-122.29532,38.2539155
3.0,-122.356387,38.292416
3.0,-122.333086,38.294664
4.0,-122.2909845,38.284664
4.0,-122.302785,38.270965
8.0,-122.4515405,38.505879
6.0,-122.544593,38.639555
2.0,-122.2885345,38.297914
4.0,-122.2909845,38.284664
2.0,-122.2898845,38.296414
9.0,-122.235633,38.323413
4.0,-122.2973305,38.284614
4.0,-122.2980885,38.296869
7.0,-122.2650815,38.159118
5.0,-122.2895875,38.303864
7.0,-122.2650815,38.159118
10.0,-122.254009,38.579556
9.0,-122.2565375,38.284514
8.0,-122.472645,38.4623595
5.0,-122.31314,38.3093635
1.0,-122.259584,38.3514125
2.0,-122.280484,38.2897645
1.0,-122.325286,38.321913
9.0,-122.2694335,38.2858635
8.0,-122.472645,38.4623595
1.0,-122.325286,38.321913
6.0,-122.5831435,38.582707
9.0,-122.2694335,38.2858635
8.0,-122.4515405,38.505879
1.0,-122.377238,38.3833115
3.0,-122.322236,38.3151135
8.0,-122.4605405,38.5338575
6.0,-122.42744,38.615055
5.0,-122.2895875,38.303864
10.0,-122.254009,38.579556
4.0,-122.286334,38.285714
4.0,-122.298069,38.2911965
4.0,-122.30391,38.284514
5.0,-122.31314,38.3093635
3.0,-122.333086,38.294664
10.0,-122.174139,38.4888795
8.0,-122.485091,38.5392075
9.0,-122.2565375,38.284514
5.0,-122.292735,38.320063
5.0,-122.291685,38.3129635
6.0,-122.474341,38.601065
7.0,-122.246181,38.160268
7.0,-122.2650815,38.159118
2.0,-122.270838,38.292814
10.0,-122.42744,38.615055
6.0,-122.586594,38.578457
7.0,-122.2692835,38.2811645
1.0,-122.325286,38.321913
6.0,-122.5831435,38.582707
9.0,-122.235633,38.323413
8.0,-122.4605405,38.5338575
9.0,-122.2427835,38.3090135
6.0,-122.585644,38.589757
1.0,-122.3172865,38.350588
2.0,-122.285519,38.2952755
4.0,-122.310589,38.303769
1.0,-122.336237,38.3756615
7.0,-122.246181,38.160268
3.0,-122.369588,38.3223135
9.0,-122.2427835,38.3090135
1.0,-122.3172865,38.350588
10.0,-122.369848,38.3875355
8.0,-122.479543,38.510608
1.0,-122.314436,38.3761115
5.0,-122.2819185,38.304744
10.0,-122.42744,38.615055
5.0,-122.292735,38.320063
1.0,-122.3172865,38.350588
3.0,-122.3273855,38.3096635
1.0,-122.3172865,38.350588
7.0,-122.246181,38.160268
7.0,-122.2692835,38.2811645
9.0,-122.224882,38.281914
10.0,-122.254009,38.579556
3.0,-122.4051885,38.330863
9.0,-122.263634,38.330463
1.0,-122.3338865,38.329713
2.0,-122.2885345,38.297914
9.0,-122.2649835,38.3085635
1.0,-122.314386,38.333513
2.0,-122.2909845,38.299464
3.0,-122.4051885,38.330863
1.0,-122.3168855,38.324663
7.0,-122.2833325,38.181725
4.0,-122.286334,38.285714
8.0,-122.481741,38.4973085
5.0,-122.31314,38.3093635
2.0,-122.285519,38.2952755
3.0,-122.3273855,38.3096635
8.0,-122.485091,38.5392075
7.0,-122.2692835,38.2811645
2.0,-122.2885345,38.297914
9.0,-122.1773815,38.3344625
8.0,-122.4605405,38.5338575
9.0,-122.2427835,38.3090135
3.0,-122.356387,38.292416
1.0,-122.3110985,38.3415625
9.0,-122.224882,38.281914
9.0,-122.2606835,38.293364
3.0,-122.3273855,38.3096635
9.0,-122.224882,38.281914
5.0,-122.2719845,38.3372125
6.0,-122.5831435,38.582707
2.0,-122.2885345,38.297914
3.0,-122.333086,38.294664
2.0,-122.270838,38.292814
4.0,-122.302785,38.270965
3.0,-122.310589,38.303769
10.0,-122.254009,38.579556
2.0,-122.2885345,38.297914
5.0,-122.3126855,38.3163135
10.0,-122.256436,38.499858
6.0,-122.4635405,38.5771565
7.0,-122.232682,38.2358775
6.0,-122.474341,38.601065
9.0,-122.2565375,38.284514
3.0,-122.356387,38.292416
2.0,-122.286484,38.298114
3.0,-122.3188355,38.293714
9.0,-122.2606835,38.293364
9.0,-122.2427835,38.3090135
6.0,-122.4635405,38.5771565
4.0,-122.305581,38.288951
2.0,-122.280484,38.2897645
2.0,-122.2898845,38.296414
6.0,-122.474341,38.601065
4.0,-122.2973305,38.284614
10.0,-122.254009,38.579556
10.0,-122.42744,38.615055
9.0,-122.263634,38.330463
7.0,-122.225373,38.1838585
5.0,-122.3126855,38.3163135
3.0,-122.356387,38.292416
10.0,-122.42744,38.615055
7.0,-122.281433,38.227166
2.0,-122.286484,38.298114
1.0,-122.314386,38.333513
10.0,-122.254009,38.579556
3.0,-122.3188355,38.293714
7.0,-122.232682,38.2358775
3.0,-122.3273855,38.3096635
10.0,-122.42744,38.615055
1.0,-122.323636,38.331063
7.0,-122.29532,38.2539155
6.0,-122.585644,38.589757
8.0,-122.467504,38.4945765
6.0,-122.586594,38.578457
8.0,-122.467504,38.4945765
4.0,-122.2882195,38.2920545
2.0,-122.280484,38.2897645
6.0,-122.4635405,38.5771565
4.0,-122.302785,38.270965
3.0,-122.310589,38.303769
6.0,-122.585644,38.589757
4.0,-122.2882195,38.2920545
10.0,-122.256436,38.499858
6.0,-122.4635405,38.5771565
6.0,-122.5831435,38.582707
4.0,-122.2909845,38.284664
10.0,-122.2847405,38.688076
8.0,-122.472241,38.507808
4.0,-122.30391,38.284514
7.0,-122.232682,38.2358775
5.0,-122.2719845,38.3372125
6.0,-122.585644,38.589757
3.0,-122.333086,38.294664
3.0,-122.310589,38.303769
7.0,-122.2833325,38.181725
5.0,-122.2819185,38.304744
5.0,-122.292735,38.320063
8.0,-122.4657405,38.511958
7.0,-122.29532,38.2539155
10.0,-122.369848,38.3875355
10.0,-122.3744885,38.548707
4.0,-122.2980885,38.296869
6.0,-122.585644,38.589757
2.0,-122.2694335,38.2858635
3.0,-122.3188355,38.293714
1.0,-122.259584,38.3514125
6.0,-122.4635405,38.5771565
7.0,-122.29532,38.2539155
1.0,-122.314386,38.333513
7.0,-122.2833325,38.181725
3.0,-122.322236,38.3151135
7.0,-122.246181,38.160268
2.0,-122.285519,38.2952755
6.0,-122.523932,38.530758
4.0,-122.2973305,38.284614
5.0,-122.2746845,38.3114635
8.0,-122.4515405,38.505879
1.0,-122.336237,38.3756615
1.0,-122.325286,38.321913
7.0,-122.302785,38.270965
8.0,-122.397552,38.460159
7.0,-122.225373,38.1838585
4.0,-122.292585,38.296564
7.0,-122.246181,38.160268
6.0,-122.586594,38.578457
8.0,-122.485091,38.5392075
8.0,-122.472645,38.4623595
10.0,-122.3003865,38.4225585
3.0,-122.369588,38.3223135
8.0,-122.481741,38.4973085
5.0,-122.292735,38.320063
3.0,-122.4051885,38.330863
5.0,-122.2992395,38.303664
4.0,-122.2980885,38.296869
5.0,-122.2819185,38.304744
6.0,-122.5831435,38.582707
7.0,-122.2692835,38.2811645
6.0,-122.523932,38.530758
5.0,-122.2746845,38.3114635
5.0,-122.2719845,38.3372125
5.0,-122.3126855,38.3163135
5.0,-122.310589,38.303769
8.0,-122.4657405,38.511958
9.0,-122.2427835,38.3090135
3.0,-122.322236,38.3151135
10.0,-122.254009,38.579556
8.0,-122.467504,38.4945765
9.0,-122.2649835,38.3085635
1.0,-122.369848,38.3875355
5.0,-122.2895875,38.303864
2.0,-122.286484,38.298114
10.0,-122.174139,38.4888795
2.0,-122.286484,38.298114
10.0,-122.2847405,38.688076
1.0,-122.377238,38.3833115
2.0,-122.2909845,38.299464
4.0,-122.298069,38.2911965
9.0,-122.1773815,38.3344625
2.0,-122.2885345,38.297914
7.0,-122.246181,38.160268
8.0,-122.397552,38.460159
8.0,-122.472241,38.507808
5.0,-122.303585,38.318063
1.0,-122.314436,38.3761115
9.0,-122.2694335,38.2858635
5.0,-122.2986355,38.332013
2.0,-122.286484,38.298114
5.0,-122.2812845,38.3174635
1.0,-122.3110855,38.329613
11.0,-122.350385,38.2069665
11.0,-122.246181,38.160268
20.0,-122.259584,38.3514125
19.0,-122.3555875,38.400511
13.0,-122.2746845,38.3114635
20.0,-122.259584,38.3514125
16.0,-122.301335,38.3108745
11.0,-122.246181,38.160268
15.0,-122.586594,38.578457
15.0,-122.4635405,38.5771565
18.0,-122.479543,38.510608
14.0,-122.3110855,38.329613
20.0,-122.2649835,38.3085635
12.0,-122.280484,38.2897645
11.0,-122.224882,38.281914
18.0,-122.256436,38.499858
12.0,-122.2692835,38.2811645
17.0,-122.302785,38.270965
20.0,-122.1773815,38.3344625
17.0,-122.30391,38.284514
11.0,-122.2593135,38.1731115
20.0,-122.259584,38.3514125
14.0,-122.323636,38.331063
14.0,-122.3168855,38.324663
17.0,-122.2973305,38.284614
16.0,-122.2909845,38.299464
15.0,-122.585644,38.589757
17.0,-122.3147355,38.2726485
17.0,-122.3147355,38.2726485
18.0,-122.4657405,38.511958
16.0,-122.2980885,38.296869
18.0,-122.4605405,38.5338575
19.0,-122.369848,38.3875355
12.0,-122.2898845,38.296414
15.0,-122.586594,38.578457
15.0,-122.5771335,38.566283
14.0,-122.303585,38.318063
18.0,-122.4657405,38.511958
11.0,-122.2833325,38.181725
17.0,-122.305581,38.288951
13.0,-122.2819185,38.304744
14.0,-122.3126855,38.3163135
15.0,-122.2847405,38.688076
13.0,-122.291685,38.3129635
15.0,-122.5771335,38.566283
12.0,-122.2898845,38.296414
11.0,-122.224882,38.281914
16.0,-122.310589,38.303769
16.0,-122.2982455,38.2993195
18.0,-122.472241,38.507808
11.0,-122.225373,38.1838585
13.0,-122.2895875,38.303864
20.0,-122.235633,38.323413
12.0,-122.2694335,38.2858635
11.0,-122.225373,38.1838585
19.0,-122.369848,38.3875355
16.0,-122.333086,38.294664
17.0,-122.30391,38.284514
15.0,-122.42744,38.615055
14.0,-122.3126855,38.3163135
16.0,-122.2980885,38.296869
19.0,-122.388088,38.360662
11.0,-122.225373,38.1838585
20.0,-122.263634,38.330463
13.0,-122.292735,38.320063
14.0,-122.3126855,38.3163135
20.0,-122.2812845,38.3174635
17.0,-122.302785,38.270965
18.0,-122.3744885,38.548707
13.0,-122.273234,38.305114
17.0,-122.298069,38.2911965
13.0,-122.292735,38.320063
14.0,-122.3273855,38.3096635
16.0,-122.310589,38.303769
16.0,-122.308635,38.297349
12.0,-122.2904345,38.289114
19.0,-122.4051885,38.330863
20.0,-122.235633,38.323413
15.0,-122.42744,38.615055
16.0,-122.2980885,38.296869
17.0,-122.2973305,38.284614
12.0,-122.2904345,38.289114
19.0,-122.356387,38.292416
11.0,-122.2650815,38.159118
15.0,-122.5672435,38.578757
16.0,-122.2980885,38.296869
13.0,-122.273234,38.305114
16.0,-122.310589,38.303769
18.0,-122.485091,38.5392075
16.0,-122.310589,38.303769
16.0,-122.31314,38.3093635
12.0,-122.2694335,38.2858635
20.0,-122.1355815,38.4137595
14.0,-122.3338865,38.329713
13.0,-122.292735,38.320063
19.0,-122.369848,38.3875355
12.0,-122.2904345,38.289114
11.0,-122.224882,38.281914
16.0,-122.308635,38.297349
11.0,-122.246181,38.160268
16.0,-122.2992395,38.303664
15.0,-122.585644,38.589757
18.0,-122.3744885,38.548707
14.0,-122.3172865,38.350588
11.0,-122.350385,38.2069665
16.0,-122.31314,38.3093635
19.0,-122.362638,38.4054645
13.0,-122.2895875,38.303864
12.0,-122.2694335,38.2858635
11.0,-122.2833325,38.181725
16.0,-122.2909845,38.299464
20.0,-122.1773815,38.3344625
19.0,-122.4051885,38.330863
17.0,-122.298069,38.2911965
17.0,-122.3147355,38.2726485
15.0,-122.5831435,38.582707
12.0,-122.270838,38.292814
13.0,-122.292735,38.320063
19.0,-122.362638,38.4054645
18.0,-122.4657405,38.511958
14.0,-122.3110855,38.329613
12.0,-122.280484,38.2897645
18.0,-122.397552,38.460159
16.0,-122.2980885,38.296869
12.0,-122.2692835,38.2811645
11.0,-122.29532,38.2539155
12.0,-122.2904345,38.289114
12.0,-122.2606835,38.293364
17.0,-122.333086,38.294664
12.0,-122.2694335,38.2858635
20.0,-122.263634,38.330463
19.0,-122.362638,38.4054645
12.0,-122.2904345,38.289114
12.0,-122.286334,38.285714
15.0,-122.474341,38.601065
19.0,-122.369848,38.3875355
14.0,-122.3110985,38.3415625
15.0,-122.5672435,38.578757
18.0,-122.523932,38.530758
15.0,-122.2847405,38.688076
20.0,-122.174139,38.4888795
17.0,-122.302785,38.270965
11.0,-122.2650815,38.159118
15.0,-122.586594,38.578457
11.0,-122.246181,38.160268
20.0,-122.1355815,38.4137595
14.0,-122.3110985,38.3415625
15.0,-122.544593,38.639555
20.0,-122.2719845,38.3372125
20.0,-122.259584,38.3514125
11.0,-122.225373,38.1838585
18.0,-122.472241,38.507808
13.0,-122.273234,38.305114
18.0,-122.4657405,38.511958
18.0,-122.481741,38.4973085
20.0,-122.2427835,38.3090135
19.0,-122.369848,38.3875355
15.0,-122.474341,38.601065
15.0,-122.474341,38.601065
18.0,-122.523932,38.530758
15.0,-122.544593,38.639555
20.0,-122.2719845,38.3372125
13.0,-122.2819185,38.304744
18.0,-122.3003865,38.4225585
15.0,-122.586594,38.578457
20.0,-122.263634,38.330463
13.0,-122.2746845,38.3114635
17.0,-122.298069,38.2911965
19.0,-122.388088,38.360662
20.0,-122.174139,38.4888795
18.0,-122.397552,38.460159
14.0,-122.2986355,38.332013
13.0,-122.292735,38.320063
15.0,-122.5771335,38.566283
19.0,-122.3555875,38.400511
12.0,-122.2694235,38.2687645
15.0,-122.474341,38.601065
12.0,-122.286484,38.298114
15.0,-122.586594,38.578457
11.0,-122.281433,38.227166
20.0,-122.2427835,38.3090135
15.0,-122.586594,38.578457
11.0,-122.2833325,38.181725
19.0,-122.388088,38.360662
16.0,-122.2982455,38.2993195
12.0,-122.2909845,38.284664
16.0,-122.2992395,38.303664
12.0,-122.270838,38.292814
20.0,-122.259584,38.3514125
13.0,-122.273234,38.305114
13.0,-122.292735,38.320063
14.0,-122.322236,38.3151135
14.0,-122.31314,38.3093635
19.0,-122.3003865,38.4225585
15.0,-122.544593,38.639555
18.0,-122.256436,38.499858
11.0,-122.224882,38.281914
19.0,-122.3003865,38.4225585
16.0,-122.2980885,38.296869
13.0,-122.2746845,38.3114635
13.0,-122.291685,38.3129635
19.0,-122.3172865,38.350588
12.0,-122.2904345,38.289114
17.0,-122.298069,38.2911965
14.0,-122.3168855,38.324663
13.0,-122.2895875,38.303864
20.0,-122.2719845,38.3372125
17.0,-122.2973305,38.284614
14.0,-122.3168855,38.324663
19.0,-122.388088,38.360662
12.0,-122.286334,38.285714
13.0,-122.2812845,38.3174635
16.0,-122.310589,38.303769
11.0,-122.2650815,38.159118
17.0,-122.305581,38.288951
19.0,-122.4051885,38.330863
19.0,-122.3003865,38.4225585
18.0,-122.472241,38.507808
11.0,-122.225373,38.1838585
13.0,-122.2812845,38.3174635
14.0,-122.322236,38.3151135
17.0,-122.333086,38.294664
20.0,-122.235633,38.323413
18.0,-122.485091,38.5392075
16.0,-122.292585,38.296564
14.0,-122.3168855,38.324663
11.0,-122.2833325,38.181725
20.0,-122.1355815,38.4137595
13.0,-122.2746845,38.3114635
14.0,-122.3110855,38.329613
12.0,-122.285519,38.2952755
19.0,-122.369848,38.3875355
15.0,-122.585644,38.589757
18.0,-122.254009,38.579556
19.0,-122.4051885,38.330863
20.0,-122.235633,38.323413
20.0,-122.1355815,38.4137595
18.0,-122.472645,38.4623595
16.0,-122.2992395,38.303664
20.0,-122.259584,38.3514125
14.0,-122.3070855,38.324563
13.0,-122.2812845,38.3174635
17.0,-122.30391,38.284514
20.0,-122.2719845,38.3372125
18.0,-122.472241,38.507808
17.0,-122.302785,38.270965
11.0,-122.2593135,38.1731115
19.0,-122.362638,38.4054645
17.0,-122.30391,38.284514
18.0,-122.3744885,38.548707
15.0,-122.42744,38.615055
14.0,-122.323636,38.331063
14.0,-122.31314,38.3093635
14.0,-122.3273855,38.3096635
17.0,-122.2973305,38.284614
18.0,-122.3744885,38.548707
16.0,-122.2982455,38.2993195
17.0,-122.2973305,38.284614
17.0,-122.3147355,38.2726485
17.0,-122.333086,38.294664
14.0,-122.325286,38.321913
19.0,-122.369848,38.3875355
19.0,-122.3003865,38.4225585
13.0,-122.273234,38.305114
19.0,-122.3555875,38.400511
12.0,-122.285519,38.2952755
19.0,-122.3555875,38.400511
13.0,-122.2895875,38.303864
11.0,-122.2833325,38.181725
17.0,-122.3061795,38.292214
14.0,-122.323636,38.331063
16.0,-122.2992395,38.303664
17.0,-122.302785,38.270965
13.0,-122.2812845,38.3174635
20.0,-122.263634,38.330463
13.0,-122.2819185,38.304744
16.0,-122.308635,38.297349
14.0,-122.3168855,38.324663
13.0,-122.2746845,38.3114635
11.0,-122.2593135,38.1731115
14.0,-122.2986355,38.332013
18.0,-122.4515405,38.505879
18.0,-122.472645,38.4623595
18.0,-122.523932,38.530758
17.0,-122.333086,38.294664
11.0,-122.2694235,38.2687645
15.0,-122.5672435,38.578757
12.0,-122.2898845,38.296414
16.0,-122.2980885,38.296869
11.0,-122.2833325,38.181725
18.0,-122.472241,38.507808
12.0,-122.2898845,38.296414
17.0,-122.30391,38.284514
19.0,-122.362638,38.4054645
12.0,-122.280484,38.2897645
12.0,-122.286334,38.285714
16.0,-122.292585,38.296564
15.0,-122.474341,38.601065
13.0,-122.286484,38.298114
14.0,-122.3110985,38.3415625
20.0,-122.225373,38.1838585
26.0,-122.2606835,38.293364
20.0,-122.2593135,38.1731115
29.0,-122.259584,38.3514125
26.0,-122.270838,38.292814
